Year,"Tracheal, bronchus, and lung cancer "
1990,5477.606751
1991,5612.037783
1992,5826.28044
1993,6036.566757
1994,6203.391357
1995,6372.230116
1996,6427.327966
1997,6599.432588
1998,6716.166865
1999,6720.453596
2000,6696.652587
2001,6729.51276
2002,6915.995188
2003,7072.815396
2004,7097.696918
2005,7295.835659
2006,7201.171839
2007,7134.16011
2008,7356.270666
2009,7457.153413
2010,7496.590945
2011,7508.335423
2012,7603.165121
2013,7905.750272
2014,8056.332637
2015,8162.953063
2016,8469.498356
